ID,Question,Label,SKnowGPT,output1_precision,output1_recall,output1_f1
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","I would recommend undergoing some medical tests to rule out any underlying conditions that may be causing your panic attacks. These tests may include an Electrocardiogram, Hematologic tests (Blood test), Complete blood count (CBC), Radiographic imaging procedure, Plain x-ray (X-ray), Kidney function tests (Kidney function test), and Glucose measurement (Glucose level). Additionally, seeking mental health counseling or psychotherapy may help in managing your panic attacks.",0.8308906555175781,0.8327890634536743,0.8318387866020203
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on your symptoms, it is possible that you have laryngitis. A hoarse voice is a common symptom of this condition. To confirm the diagnosis, medical tests such as tracheoscopy and laryngoscopy with biopsy, occupational therapy assessment like speech therapy, and upper gastrointestinal endoscopy with biopsy may be required. Treatment for laryngitis may include medications such as Phenol Topical, Hydrocodone-Potassium Guaiacolsulfonate, Methamphetamine, Guaifenesin (Mucinex), Robitussin Ac, Benzonatate, Clarithromycin, Robitussin Dm, Betamethasone Topical Product. Please consult with a healthcare professional for further evaluation and treatment recommendations.",0.7813423275947571,0.8322346210479736,0.8059859275817871
3,"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on your concern, if you suspect Turner syndrome, it is recommended to undergo a series of diagnostic tests for confirmation. These tests include a complete physical skin exam, ultrasonography, echocardiography, and ophthalmologic and otologic diagnosis and treatment.

     If diagnosed with Turner syndrome, common medications that may be prescribed are Ascorbic Acid, Somatropin, and Ortho Cyclen. However, please consult with a healthcare professional for further evaluation and personalized medical advice.",0.7924145460128784,0.8314101696014404,0.8114441633224487
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on your symptoms of severe headaches and dizziness, meningitis is a possibility. To confirm the diagnosis, medical tests such as Blood cultures, Lumbar puncture, and CT scan are required. If meningitis is confirmed, medications like Amoxicillin, Ceftriaxone, Dexamethasone, Vancomycin, Rifampin, and Penicillin G may be needed for treatment.",0.7519135475158691,0.7707746028900146,0.7612272500991821
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on your symptoms, it is possible that you have been poisoned by ethylene glycol. In order to diagnose this, I would recommend conducting medical tests such as intravenous fluid replacement, hematologic tests (blood test), toxicology screen, complete blood count (CBC), electrocardiogram, and glucose measurement (glucose level). In the case of ethylene gglycol poisoning, medications such as haloperidol, olanzapine (Zyprexa), magnesium sulfate, trimethobenzamide (Tigan), acetylcysteine, lorazepam, thiamine, naloxone (Suboxone), and famotidine may be required. It is important to seek immediate medical attention in this situation.",0.7478565573692322,0.8327304124832153,0.7880147695541382
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on your symptoms, it seems like you may be experiencing vaginal dryness and pain during intercourse, which could be due to conditions such as Vaginismus or Atrophic vaginitis. To diagnose the issue, medical tests such as a pelvic exam, examination of the breast, and specific diagnostic procedures for female organs may be required. Depending on the diagnosis, medication may be recommended for treatment.",0.8495633006095886,0.8648403882980347,0.8571338653564453
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.",I would recommend getting a Plain x-ray and Radiographic imaging procedure done to confirm if your hand is fractured. Please immobilize your hand and apply ice to reduce swelling in the meantime.,0.8670669794082642,0.8025990724563599,0.8335884809494019
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on your symptoms, it seems like you may have a dental issue causing mouth pain and possibly a broken tooth, leading to difficulty eating and potentially jaw swelling. However, without further examination, it is difficult to provide a definitive diagnosis.

     Unfortunately, I cannot perform a physical examination or request any medical tests since I am an AI language model. Therefore, I strongly recommend that you consult with a healthcare professional who can evaluate your condition thoroughly. They will determine the appropriate course of action, which may include ordering diagnostic tests or prescribing medication if necessary.

     Meanwhile, try to avoid hard foods and maintain good oral hygiene to prevent further irritation. Over-the-counter pain relievers may help alleviate discomfort temporarily, but do not use them excessively or without consulting a healthcare provider first.",0.7882665395736694,0.8134708404541016,0.8006703853607178
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on your symptoms, it is possible that you have an eye alignment disorder, which could be causing your double vision and eye strain. To confirm this diagnosis, I would recommend undergoing ophthalmologic and otologic diagnosis and treatment, ophthalmic examination and evaluation, and occupational therapy assessment. These tests will help determine the cause of your eye alignment problem and guide the appropriate treatment. Medications such as fluorescein, atropine, phenylephrine, cyclopentolate, tropicamide, and dexamethasone-tobramycin may be required to treat the eye alignment disorder.",0.8334043025970459,0.8351162672042847,0.8342593908309937
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","I'm sorry, but based on the information provided, there are no specific tests recommended for headaches following a lumbar puncture. Generally, these headaches resolve on their own within a few days. If your symptoms persist or worsen, it would be best to consult with your healthcare provider for further evaluation and treatment options.",0.7814781069755554,0.7897693514823914,0.7856018543243408
