ID,Question,Label,SKnowGPT
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","In order to address your sudden and frequent panic attacks, it is important to consider the symptoms you are experiencing. Panic attacks are associated with symptoms such as dizziness, breathing fast, chest tightness, and sharp chest pain, which could indicate the possible disease of Panic disorder. 

To confirm the diagnosis and determine the best course of treatment, medical tests such as an electrocardiogram, hematologic tests (blood test), complete blood count (CBC), radiographic imaging procedure, plain x-ray (X ray), kidney function tests (kidney function test), and glucose measurement (glucose level) may be necessary. 

In terms of treatment, medications like Lorazepam may be used to help manage Panic disorder. Other medications that may be prescribed include felodipine, grepafloxacin (Raxar), mecamylamine, pseudoephedrine (PCM-LA), rosiglitazone (Avandia), sodium salicylate, etanercept (Enbrel), varenicline (Chantix), oxymetazoline nasal, and etodolac. 

It is important to consult with a healthcare professional for a proper evaluation and personalized treatment plan."
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on your symptoms of a hoarse voice that has not improved with medication, the possible conditions could be laryngitis, rhabdomyolysis, or nasal polyps. To determine the exact cause, I recommend undergoing medical tests such as tracheoscopy and laryngoscopy with biopsy, occupational therapy assessment, upper gastrointestinal endoscopy with biopsy for laryngitis, hematologic tests, complete blood count, intravenous fluid replacement, kidney function tests for rhabdomyolysis, and X-ray computed tomography, excision, diagnostic procedures for nasal polyps. Treatment may involve medications like Phenol Topical, Hydrocodone-Potassium Guaiacolsulfonate, Methamphetamine, Guaifenesin, Robitussin Ac, Benzonatate, Clarithromycin, Robitussin Dm, Betamethasone Topical Product for laryngitis, Thiamine, Grepafloxacin, Mecamylamine, Methadone, Gemfibrozil, Sodium Bicarbonate, Haloperidol, Olanzapine, Magnesium Oxide, Naloxone, Nicotine for rhabdomyolysis."
3,"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on the symptoms you mentioned, it is important to consult with a healthcare professional for a proper diagnosis. Turner syndrome is a genetic condition that affects females and is typically characterized by short stature, delayed puberty, and infertility. It is diagnosed through genetic testing and a physical exam. If you suspect you have Turner syndrome, it is recommended to see a doctor for further evaluation and testing."
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","In order to confirm the diagnosis of cryptorchidism, you will need to undergo medical tests such as Occupational therapy assessment, male genital procedures, ultrasound, and skin exams. Additionally, medication like Desoximetasone Topical, Rotavirus Vaccines, Hepatitis B Vaccine, and Haemophilus B Conjugate Vaccine may be required for treatment. Symptoms of cryptorchidism include irritability, lack of growth, scrotal mass, testicular pain, and swelling of the scrotum."
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on the symptoms you are experiencing after drinking ethylene glycol, it is possible that you have been poisoned. To confirm this, I recommend conducting medical tests such as intravenous fluid replacement, hematologic tests (blood test), toxicology screen, complete blood count (CBC), electrocardiogram, glucose measurement (glucose level), and blood alcohol. It is important to seek immediate medical attention for poisoning due to ethylene glycol."
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on your symptoms of discomfort, dryness in the vagina, and pain during sex, the possible problem could be Vaginismus or Atrophic vaginitis. To confirm the diagnosis, I recommend undergoing a pelvic exam and possibly a vaginal swab test. These tests will help determine the underlying cause of your symptoms and guide appropriate treatment. Please consult with a healthcare provider for further evaluation and management."
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on the symptoms you described, it is possible that you have a fractured hand. To confirm this, I recommend you undergo a medical examination and possibly an X-ray of your hand. In the meantime, you may need to manage the pain with medications such as Disopyramide and Carteolol. Please seek medical attention as soon as possible for proper diagnosis and treatment."
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on the symptoms you have described, it is possible that you may be experiencing gum disease. Gum disease can lead to jaw swelling and gum pain, which may result in difficulty eating and talking. It is important to visit a dentist for a proper evaluation and treatment. In the meantime, you can try using a soft toothbrush, gentle flossing, and rinsing with warm salt water to help alleviate the pain and swelling."
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on your symptoms of double vision and eye strain, along with the information provided, it is important to consult with an ophthalmologist for a proper diagnosis. The ophthalmologist may conduct ophthalmologic procedures to assess your eye alignment and vision. Additionally, they may recommend otologic procedures to rule out any underlying issues.

Possible diseases that could be causing your symptoms include Cryptococcosis, Mumps, and Amyloidosis. These conditions can affect eye alignment and lead to double vision and eye strain.

Treatment may involve medication such as Fluorescein, Benzylpenicilloyl Polylysine (Pre-Pen), and Colloidal Oatmeal Topical, depending on the underlying cause of your symptoms. It is important to seek medical attention for a proper evaluation and treatment plan."
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","In order to address your headaches after a recent lumbar puncture, I recommend considering medical tests such as Intravenous fluid replacement, Hematologic tests (Blood test), Toxicology screen, Complete blood count (Cbc), Electrocardiogram, Glucose measurement (Glucose level), and Blood alcohol testing. These tests can help determine the underlying cause of your headaches and guide further treatment."
